alive ,alive_since     ,anonymity   ,average_timeout    ,first_seen      ,ip_data_as                                                                                                                      ,ip_data_asname                                    ,ip_data_city                 ,ip_data_continent ,ip_data_continentCode ,ip_data_country          ,ip_data_countryCode ,ip_data_district            ,ip_data_hosting ,ip_data_isp                                                           ,ip_data_lat ,ip_data_lon ,ip_data_mobile ,ip_data_org                                                     ,ip_data_proxy ,ip_data_regionName                    ,ip_data_status ,ip_data_timezone               ,ip_data_zip ,ip_data_last_update ,last_seen       ,port  ,protocol ,proxy                          ,ssl   ,timeout            ,times_alive ,times_dead ,uptime             ,ip
true  ,1731214254.9531 ,elite       ,  950.24033655036  ,1728578272.7638 ,"AS14061 DigitalOcean, LLC"                                                                                                     ,DIGITALOCEAN-ASN                                  ,"Frankfurt am Main"          ,Europe            ,EU                    ,Germany                  ,DE                  ,                            ,true            ,"DigitalOcean, LLC"                                                   ,50.1169     ,8.6837      ,false          ,"DigitalOcean, LLC"                                             ,true          ,Hesse                                 ,success        ,Europe/Berlin                  ,60341       ,         1730997825 ,1731215239.0429 , 8080 ,http     ,http://165.22.77.86:8080       ,false ,   91.42804145813  ,      28682 ,      9474 ,75.170353286508    ,165.22.77.86
true  ,1731215238.7134 ,elite       ,  836.75827554575  ,1696998827.3781 ,"AS46562 Performive LLC"                                                                                                        ,PERFORMIVE                                        ,Atlanta                      ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,true            ,"Performive LLC"                                                      ,33.7488     ,-84.3877    ,false          ,"Performive LLC"                                                ,true          ,Georgia                               ,success        ,America/New_York               ,30302       ,         1730808794 ,1731215238.7134 , 4145 ,socks4   ,socks4://199.229.254.129:4145  ,true  ,  721.97031974792  ,     117873 ,    156991 ,42.88411723616     ,199.229.254.129
true  ,1731215238.5641 ,elite       , 3632.2367480307   ,1723194554.7533 ,"AS26496 GoDaddy.com, LLC"                                                                                                      ,AS-26496-GO-DADDY-COM-LLC                         ,Chiyoda                      ,Asia              ,AS                    ,Japan                    ,JP                  ,                            ,true            ,"GoDaddy.com, LLC"                                                    ,35.694      ,139.754     ,false          ,"GoDaddy.com, LLC"                                              ,true          ,Tokyo                                 ,success        ,Asia/Tokyo                     ,100-0001    ,         1730713455 ,1731215238.5641 ,27877 ,socks4   ,socks4://208.109.13.93:27877   ,true  ,  865.8435344696   ,        132 ,     27656 , 0.47502519072981  ,208.109.13.93
true  ,1731215238.5158 ,elite       , 2570.130906836    ,1697759214.4522 ,"AS52468 UFINET PANAMA S.A."                                                                                                    ,"UFINET PANAMA S.A."                              ,Babahoyo                     ,"South America"   ,SA                    ,Ecuador                  ,EC                  ,                            ,false           ,"Ufinet Panama S.A."                                                  ,-1.7984     ,-79.5359    ,false          ,"Negocios Y Telefonia Nedetel S.A"                              ,false         ,"Los Ríos"                            ,success        ,America/Guayaquil              ,            ,         1730649608 ,1731215238.5158 ,32213 ,socks4   ,socks4://177.234.244.172:32213 ,true  ,  887.39442825317  ,       6579 ,    203450 , 3.1324245699403   ,177.234.244.172
true  ,1731215238.4226 ,elite       , 8970.9157618744   ,1715760143.5676 ,"AS12430 VODAFONE ESPANA S.A.U."                                                                                                ,VODAFONE_ES                                       ,Madrid                       ,Europe            ,EU                    ,Spain                    ,ES                  ,                            ,false           ,"Comunitel Global"                                                    ,40.4168     ,-3.70379    ,false          ,"Comunitel Global S.A."                                         ,true          ,Madrid                                ,success        ,Europe/Madrid                  ,28070       ,         1730622698 ,1731215238.4226 , 4673 ,socks4   ,socks4://77.225.198.220:4673   ,true  , 3281.3541889191   ,        807 ,     83491 , 0.95731808583834  ,77.225.198.220
true  ,1731215129.8062 ,transparent , 2554.5300591569   ,1730340999.0879 ,"AS3215 Orange S.A."                                                                                                            ,AS3215                                            ,Aix-en-Provence              ,Europe            ,EU                    ,France                   ,FR                  ,                            ,false           ,"Orange S.A."                                                         ,43.5312     ,5.4554      ,false          ,"Commune De LA Penne SUR Huveaune"                              ,false         ,"Provence-Alpes-Côte d'Azur"          ,success        ,Europe/Paris                   ,13540       ,         1730945807 ,1731215238.2744 , 3128 ,http     ,http://90.85.169.218:3128      ,false ,  967.37909317017  ,       6381 ,      5406 ,54.135912445915    ,90.85.169.218
true  ,1731215193.0191 ,elite       , 5016.2506082417   ,1728708929.5254 ,"AS397423 Tier.Net Technologies LLC"                                                                                            ,TIER-NET                                          ,Bend                         ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,false           ,"Tier.Net Technologies LLC"                                           ,44.0185     ,-121.2984   ,false          ,                                                                ,false         ,Oregon                                ,success        ,America/Los_Angeles            ,97702       ,         1730973573 ,1731215237.9781 ,35195 ,http     ,http://193.227.129.196:35195   ,false ,  893.64957809448  ,        113 ,      5035 , 2.1950271950272   ,193.227.129.196
true  ,1731215237.9259 ,elite       ,  637.83513785109  ,1710541373.1267 ,"AS45102 Alibaba (US) Technology Co., Ltd."                                                                                     ,ALIBABA-CN-NET                                    ,Charlottesville              ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,true            ,"Alibaba.com LLC"                                                     ,37.4316     ,-78.6569    ,false          ,ALICLOUD-US                                                     ,true          ,Virginia                              ,success        ,America/New_York               ,22902       ,         1730872494 ,1731215237.9259 , 3128 ,http     ,http://47.89.184.18:3128       ,false ,  330.83033561707  ,     193936 ,     88012 ,68.784314838197    ,47.89.184.18
true  ,1731215237.8803 ,anonymous   , 4132.8383758847   ,1719832256.6752 ,"AS30083 GoDaddy.com, LLC"                                                                                                      ,AS-30083-GO-DADDY-COM-LLC                         ,"St Louis"                   ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,true            ,GoDaddy.com                                                           ,38.6287     ,-90.1988    ,false          ,"HEG US Inc."                                                   ,true          ,Missouri                              ,success        ,America/Chicago                ,63188       ,         1730804995 ,1731215237.8803 ,30118 ,http     ,http://148.72.165.7:30118      ,false , 2245.8641529083   ,      30082 ,    108196 ,21.75472598678     ,148.72.165.7
true  ,1731215229.645  ,elite       , 1601.5696307788   ,1730714186.7553 ,"AS4134 CHINANET-BACKBONE"                                                                                                      ,CHINANET-BACKBONE                                 ,Guangzhou                    ,Asia              ,AS                    ,China                    ,CN                  ,                            ,false           ,Chinanet                                                              ,23.1181     ,113.2539    ,false          ,"Chinanet JS"                                                   ,true          ,Guangdong                             ,success        ,Asia/Shanghai                  ,            ,         1730716783 ,1731215237.5745 ,59837 ,http     ,http://114.236.93.208:59837    ,false ,  986.39750480652  ,        208 ,      6946 , 2.9074643556053   ,114.236.93.208
